City,Lat,Long,State
Panipat,29.387471,76.968246,Haryana
Parbhani,19.268553,76.770807,Maharashtra
Pathankot,32.274842,75.652865,Punjab
Patiala,30.336245,76.392199,Punjab
Patna,25.615379,85.101027,Bihar
Pilibhit,28.631245,79.804362,Uttar Pradesh
Porbandar,21.641346,69.600868,Gujarat
Port Blair,11.666667,92.75,Andaman and Nicobar Islands
Proddatur,14.7502,78.548129,Andhra Pradesh
Puducherry,11.933812,79.829792,Puducherry
Pune,18.513271,73.849852,Maharashtra
Puri,19.798254,85.824938,Odisha
Purnea,25.776703,87.473655,Bihar
Raichur,16.205459,77.35567,Karnataka
Raipur,21.233333,81.633333,Chhattisgarh
Rajahmundry,17.005171,81.777839,Andhra Pradesh
Rajapalaiyam,9.451111,77.556121,Tamil Nadu 
Rajkot,22.291606,70.793217,Gujarat
Ramagundam,18.45,79.28,Telangana
Rampura,26.884682,75.789336,Rajasthan
Ranchi,23.347768,85.338564,Jharkhand
Ratlam,23.330331,75.040315,Madhya Pradesh
Raurkela,22.224964,84.864143,Odisha
Rohtak,28.894473,76.589166,Haryana
Saharanpur,29.967896,77.545221,Uttar Pradesh
Saidapur,27.598784,80.75089,Uttar Pradesh
Saidpur,34.318174,74.457093,Jammu and Kashmir
Salem,11.651165,78.158672,Tamil Nadu 
Samlaipadar,21.478072,83.990505,Odisha
Sangli,16.856777,74.569196,Maharashtra
Saugor,23.838766,78.738738,Madhya Pradesh
Shahbazpur,27.874116,79.879327,Uttar Pradesh
Shiliguri,26.710035,88.428512,West Bengal
Shillong ,25.573987,91.896807,Meghalaya
Shimla,31.104423,77.166623,Himachal Pradesh
Shimoga,13.932424,75.572555,Karnataka
Sikar,27.614778,75.138671,Rajasthan
Silchar,24.827327,92.797868,Assam
Silvassa,20.273855,72.996728,Dadra and Nagar Haveli
Sirsa,29.534893,75.028981,Haryana
Sonipat,28.994778,77.019375,Haryana
Srinagar,34.085652,74.805553,Jammu and Kashmir
Surat,21.195944,72.830232,Gujarat
Tezpur,26.633333,92.8,Assam
Thanjavur,10.785233,79.139093,Tamil Nadu 
Tharati Etawah,26.758236,79.014875,Uttar Pradesh
Thiruvananthapuram,8.485498,76.949238,Kerala
Tiruchchirappalli,10.815499,78.696513,Tamil Nadu 
Tirunelveli,8.725181,77.684519,Tamil Nadu 
Tirupati,13.635505,79.419888,Andhra Pradesh
Tiruvannamalai,12.230204,79.072954,Tamil Nadu 
Tonk,26.168672,75.786111,Rajasthan
Tuticorin,8.805038,78.151884,Tamil Nadu 
Udaipur,24.57951,73.690508,Rajasthan
Ujjain,23.182387,75.776433,Madhya Pradesh
Vadodara,22.299405,73.208119,Gujarat
Valparai,10.325163,76.955299,Tamil Nadu 
Varanasi,25.31774,83.005811,Uttar Pradesh
Vellore,12.905769,79.137104,Tamil Nadu 
Visakhapatnam,17.704052,83.297663,Andhra Pradesh
Vizianagaram,18.11329,83.397743,Andhra Pradesh
Warangal,17.978423,79.600209,Telangana
Jorapokhar,23.7,86.41267,Jharkhand
Brajrajnagar,21.82,83.92,Odisha
Talcher,20.95,85.23,Odisha
